koi_period,koi_depth,koi_duration,koi_ror,koi_teq,koi_insol,label
7.04710032,400.9,2.926,0.216054,986.0,223.84,0
12.99204853,270.6,6.0175,0.014939,866.0,132.94,1
11.11620211,4843.9,4.211,0.082423,853.0,125.21,0
1.922861499,1916.2,3.5734,0.051164,1392.0,884.12,0
0.635445336,2547.4,1.8592,0.316337,1177.0,451.42,0
1.665784138,2006.2,1.8946,0.319369,2636.0,11424.49,0
55.6639167,3414.4,23.546,0.366484,434.0,8.38,0
52.09081627,2894.1,8.6388,0.049363,592.0,29.07,1
7.1548608,780.4,7.694,0.039041,1482.0,1141.57,0
4.28746668,790.1,1.5693,0.025717,942.0,186.31,1
2.002779769,260.5,2.231,0.014608,1311.0,696.4,0
8.18739443,517.6,3.0472,0.020743,782.0,88.36,1
76.0498163,445.9,7.158,0.018858,372.0,4.53,1
3.341799486,178.2,2.9254,0.01238,1356.0,798.41,1
3.3226948,78.7,3.568,0.008278,3859.0,52428.3,0
36.97708808,1269.9,4.737,0.285292,602.0,31.08,0
1.851409163,232.5,10.232,0.127275,2154.0,5090.14,0
1.303859704,36.7,2.8239,0.005894,2393.0,7759.2,0
145.5624926,2931.6,5.4126,0.335735,387.0,5.33,0
3.749105745,182.6,1.9826,0.015686,1160.0,428.25,1
11.08956602,148.1,6.2877,0.011202,1422.0,965.62,1
7.24476126,58.0,2.3145,0.006839,837.0,116.02,0
8.70798309,1419.6,2.4904,0.033251,543.0,20.59,1
4.17634276,531.5,2.335,0.020401,694.0,54.8,1
27.40229859,747.5,6.8491,0.025079,734.0,68.46,1
3.179267286,200.9,1.0246,0.012917,1101.0,347.01,1
10.38122447,801.5,2.715,0.025572,672.0,48.37,1
24.5709023,764.2,3.587,0.033128,505.0,15.33,1
81.221876,9883.0,4.1135,0.173832,385.0,5.2,0
0.817026268,1145.5,2.0799,0.030636,1784.0,2386.13,0
3.024092505,7765.0,2.8021,0.081878,1489.0,1162.54,1
5.670155713,536.7,0.9361,0.292493,341.0,3.21,0
1.022678654,129.2,1.3712,0.010229,1734.0,2138.47,1
12.10968709,284.7,6.3461,0.0187,1005.0,240.8,1
4.75796103,124.5,4.66,0.010702,1372.0,835.65,1
20.4972755,242.9,8.536,0.018577,843.0,119.42,1
13.55480534,48.3,2.288,0.006462,679.0,50.41,0
29.74454668,66894.0,23.2842,0.233128,455.0,10.1,0
14.15402428,61625.0,4.47001,0.470267,777.0,86.13,0
0.844786082,2468.5,3.5289,0.353039,1864.0,2846.03,0
0.848483947,1907.4,1.4451,0.314173,1908.0,3117.82,0
11.99097576,2124.3,5.7401,0.320114,880.0,141.63,0
53.5292702,1086.1,5.668,0.029542,348.0,3.48,1
0.393726813,564.6,2.95,0.214695,2705.0,12661.53,0
2.757584622,563.1,0.9267,0.021901,615.0,33.79,1
0.928310036,376.2,1.1899,0.017601,1115.0,365.72,1
13.48457668,653.5,5.0197,0.023452,929.0,176.29,1
31.8841473,910.0,6.122,0.03477,563.0,23.82,1
67.69213907,25457.0,51.349,0.150573,1173.0,448.21,0
12.06222962,300.2,2.0584,0.015945,750.0,74.8,1
9.93146307,398.6,5.678,0.018094,931.0,177.83,1
21.85362905,355.6,3.439,0.018296,618.0,34.57,1
8.19345065,115.4,5.234,0.010952,1144.0,405.75,1
19.97867,944.3,10.168,0.033104,1351.0,788.02,0
41.8059544,434.4,6.057,0.019015,533.0,19.02,1
15.45158184,85.3,2.406,0.008928,1285.0,643.83,0
89.698168533,273110.0,5.5418,0.590496,554.0,22.33,0
1.187352427,20703.0,4.999,0.414215,2251.0,6067.3,0
3.012476582,1138.5,3.1424,0.294213,2371.0,7471.65,0
4.77800306,473.0,2.7361,0.019376,932.0,177.79,1
7.814839231,2010.3,3.0122,0.052382,903.0,156.74,0
29.7452499,778.9,22.695,0.03286,557.0,22.74,0
5.32667299,611.4,3.4045,0.022482,1007.0,242.97,1
0.741057213,1996.3,1.05299,0.314771,1730.0,2128.29,0
2.988085455,802.8,3.68,0.246924,1101.0,348.05,0
2.783883492,903.9,2.4546,0.286516,1934.0,3304.55,0
0.393727296,903.5,3.02,0.261231,2216.0,5746.51,0
8.17242644,864.3,3.902,0.033266,858.0,127.95,1
13.0607936,236.6,3.215,0.015111,734.0,68.66,1
25.9518461,1058.5,14.581,0.256824,521.0,17.37,0
25.9518536,2017.9,14.755,0.30359,494.0,14.09,0
5.68628739,5559.7,17.573,0.043076,1059.0,297.81,0
15.663886949,5144.4,2.4775,0.112808,1060.0,298.77,0
4.020628573,20901.0,4.4085,0.150191,1232.0,543.92,0
185.02288222,43547.0,4.87326,0.333723,379.0,4.89,0
2.897432135,1223.7,3.1793,0.043891,2170.0,5240.0,0
8.70420525,1074.9,2.9385,0.030316,748.0,74.13,1
8.1280933,224.1,3.727,0.013795,875.0,138.51,1
0.974868896,197.6,1.6191,0.012716,1612.0,1605.87,1
4.89721006,274.4,1.812,0.015988,904.0,157.93,1
2.757794163,39043.0,2.7644,0.206038,1231.0,542.43,0
1.914158508,7829.2,3.2917,0.111651,1646.0,1730.47,0
3.98216698,381.3,2.396,0.019666,1374.0,842.48,0
0.643794198,456.7,1.5662,0.215255,2011.0,3852.91,0
16.08832318,597.8,5.731,0.023572,875.0,138.64,1
10.30067919,271.8,4.885,0.015115,1015.0,251.55,1
35.6757453,471.2,7.381,0.020763,671.0,47.96,1
161.78832712,87750.0,5.31,0.273088,375.0,4.68,0
16.56806842,1331.4,4.2647,0.032537,548.0,21.27,1
47.3329299,931.5,2.708,0.027927,386.0,5.25,1
0.856895349,82.2,1.3078,0.00864,1881.0,2960.82,0
40.8065333,313.9,13.135,0.016213,772.0,83.75,1
2.46697039,308.7,1.6345,0.016558,1139.0,398.42,1
6.61836309,549.1,3.6813,0.0211,1066.0,304.65,1
107.7214092,1396.2,8.042,0.033622,421.0,7.39,1
5.251916208,10624.0,4.9095,0.390092,952.0,194.17,0
9.673958488,952.7,3.2641,0.027629,736.0,69.42,1
100.3039228,5450.0,8.702,0.35047,313.0,2.26,0
